entre, between
consciente, conscious
congés, leave
zingaro, zingaro
virent, saw
trenet, trenet
transparence, transparency
tranches, slices
températures, temperatures
statuts, Statutes
signaux, signals
séverin, Severin
reprocher, blame
purs, pure
produite, produced
pourri, rotten
plates, flat
plaisanterie, joke
moustaches, whiskers
juan, juan
jenny, jenny
incapables, unable
habiller, dress
générosité, generosity
faillit, nearly
discret, discrete
denis, denis
dégagé, cleared
découvrant, discovering
clefs, key
chômage, unemployment
charmante, charming
cachette, cache
bordure, edge
benjamin, benjamin
appliquées, applied
aoûti, aoûti
annexe, annex
tentait, attempted
tarder, delay
publications, Publications
poussées, advanced
monument, monument
méditation, meditation
médicaments, drugs
entraîna, led
douces, sweet
attentive, careful
zèle, zeal
valet, valet
tombés, fallen
suivaient, followed
sophie, sophie
situés, located
secrétaires, Secretaries
réaliste, realistic
fréquentes, frequent
entraînent, lead
dura, lasted
drôles, funny
déposer, file
banale, trivial
azur, blue
appartements, apartments
aérien, air
terrasses, terraces
susciter, create
sérénité, serenity
résumé, summary
représentée, represented
répartis, distributed
recule, back
probabilités, probabilities
nathanaël, Nathanael
mouillée, wet
lejeune, lejeune
lave, lava
jury, jury
habit, habit
galop, gallop
exclusion, exclusion
européennes, European
créatrice, creative
conte, story
compté, counted
brille, shines
bravo, bravo
assumer, assume
appréciable, appreciable
antiques, ancient
ali, ali
accumulation, accumulation
abat, Shade
vogue, vogue
tunnel, tunnel
tranchées, trenches
talon, heel
strict, strict
squelette, skeleton
révèlent, reveal
regretter, regret
prononce, pronounced
poules, hens
plateaux, trays
paiement, payment
noyer, walnut
marino, marino
imprimé, printed
halte, stop
figé, frozen
exercé, practiced
effroi, terror
confère, gives
complaisance, complacency
cherchais, looking
chateaubriand, chateaubriand
alimentaire, Food
xvi, xvi
tranquilles, quiet
télécommunications, Telecommunications
sûrs, safe
remuer, stir
refrain, refrain
plongé, deep
pavé, pavement
partagé, shared
occupés, occupied
notation, notation
mesnard, Mesnard
manuels, manuals
maintient, maintains
listes, lists
laissés, left
immensité, immensity
foules, crowds
foncé, dark
flèches, arrows
faune, fauna
exploiter, exploit
exigent, require
enfantin, infantile
conneries, bullshit
chantant, singing
bourgogne, Burgundy
billes, Ball
accélération, acceleration
vibrations, vibration
trouvez, are
stéphane, stéphane
souhaitait, wanted
sauve, saves
préjugés, Prejudice
précédé, preceded
physiquement, physically
paresse, laziness
oubliée, forgotten
notable, notable
maii, maii
lapins, rabbits
labeur, labor
informe, informs
inerte, inert
espagnole, Spanish
discrète, discrete
développées, developed
contraction, contraction
constituante, Constituent
conservatoire, conservatory
comportait, included
châteaux, castles
cédé, sold
brillantes, brilliant
anita, anita
adjoint, assistant
suspendue, suspended
soulevé, raised
soufflait, blowing
roseaux, reeds
reproches, reproaches
remercier, thank
recteur, rector
primitives, primitive
piqué, dive
pentes, slopes
patrimoine, heritage
naïf, naive
musulmans, Muslims
lyrique, lyric
luisant, shiny
lâché, loose
fermait, closed
désespéré, desperate
déroule, place
décomposition, decomposition
croirait, believe
carbone, carbon
amplitude, amplitude
agitait, agitated
visibles, visible
sevrais, sevrais
revu, revised
rejeter, reject
producteur, producer
policier, policeman
perle, pearl
occidental, western
neuves, new
mélancolique, melancholy
mariages, Marriages
logiques, logical
lisa, lisa
jugeait, considered
inviter, invite
inspecteurs, Inspectors
hésitait, hesitated
fossiles, fossil
embarras, embarrassment
distinguait, distinguished
déduire, deduce
crève, bursts
couvrait, covered
concernent, concern
coloration, coloring
charger, load
autos, cars
aidant, helping
voleur, thief
violette, violet
vaine, vain
test, test
pénétré, penetrated
participent, participate
pare, barrier
indépendants, Independent
hollandais, Dutch
grèves, strikes
grandi, grew up
essences, species
envoya, sent
châssis, chassis
braves, brave
attachée, attached
appelons, call
week, week
sociologues, sociologists
sincèrement, sincerely
secrètement, secretly
rectangle, rectangle
pesanteur, gravity
peinte, painted
pathétique, pathetic
marne, marl
législatif, legislative
lançait, launched
géographiques, geographical
fédéralisme, federalism
exprimait, expressed
crue, flood
corne, horn
compétences, skills
coïncidence, coincidence
axes, axes
augmenté, increased
attrait, lure
archevêque, archbishop
aptitudes, skills
accroît, increases
semelles, soles
rouleau, roll
romanesque, romantic
profite, benefits
poignets, wrists
pavés, pavers
nathan, nathan
motrice, driving
gendarme, policeman
gaiement, cheerfully
gabin, gabin
externe, external
entreprit, undertook
cgt, cgt
bougies, candles
besogne, task
araignée, spider
appartenir, belong
thérapeutique, therapeutic
sentaient, felt
ressemblaient, resembled
remplace, replaces
rejeté, rejected
protège, protects
privilégié, privileged
piscine, pool
persuader, persuade
perdues, lost
négation, negation
musculaire, muscular
joints, O
incompréhensible, incomprehensible
impériale, imperial
habitat, habitat
fréquents, frequent
fondation, foundation
filé, spun
empreinte, footprint
divorce, divorce
désiré, desired
culturelles, cultural
connut, experienced
cinquantaine, fifty
alphonse, alphonse
stratégique, strategic
résiste, resists
répandu, widespread
relativité, relativity
planter, plant
obéit, obeys
intéressants, interesting
foulard, scarf
externes, external
eue, had
entraînait, resulted
einstein, einstein
dépassent, exceed
délais, time
contes, tales
classés, classified
auxiliaire, auxiliary
allié, ally
adolescents, teenagers
vêtus, dressed
vacarme, din
songé, thought
rosette, rosette
rodin, rodin
résonance, resonance
précisé, said
poussent, grow
plu, several
pilote, pilot
photographique, photographic
mutation, mutation
manifestent, show
froides, cold
fourneau, furnace
expérimentales, experimental
efforçait, tried
défilé, parade
défait, undone
confidences, confidences
bulles, bubbles
bouleversé, shaken
architecte, architect
approximation, approximation
agrément, approval
affections, conditions
tracer, draw
significatif, significant
signalé, reported
sexuelle, sexual
saurais, know
porche, porch
photographe, photographer
percer, drill
opposés, opposed
nourri, fed
nerval, nerval
moche, ugly
gauthier, gauthier
fragiles, fragile
finissent, end
exprimé, expressed
euh, uh
entrez, enter
distraire, distract
déséquilibre, imbalance
comptant, spot
bénéfices, earnings
assiste, assists
accomplit, performs
veuille, wants
vainement, in vain
sonnette, bell
reçue, received
raides, steep
placées, placed
physiciens, Physicists
phare, lighthouse
parcelle, plot
occupant, occupant
monnaies, currencies
mona, mona
moléculaire, molecular
manège, carousel
guider, guide
figurant, contained
extraordinaires, extraordinary
espagnols, Spanish
entrailles, entrails
décoration, decoration
conclu, concluded
combler, fill in
bâtir, build
amer, bitter
sus, addition
sénat, senate
sartre, sartre
retenait, retained
quarantaine, quarantine
présidence, presidency
obtenues, obtained
novembrei, novembrei
javier, javier
initiales, initials
fumier, manure
forestier, forest
diplômes, qualifications
déranger, disturb
cuire, cook
constituants, constituents
bêtise, foolishness
battue, beaten
bâti, built
atteignent, reach
aristocratie, aristocracy
amenés, brought
agite, agitated
vole, flies
violon, violin
urgent, urgent
souche, strain
repère, landmark
psychiques, psychic
profité, advantage
plier, fold
pépé, grandpa
pénétration, penetration
peints, painted
opposée, opposite
nationalité, nationality
marchaient, walking
interrompre, interrupt
inquiéter, worry
innovations, innovations
galeries, galleries
funèbre, funeral
fondu, melted
fatalité, fatality
déterminés, determined
délivré, issued
déclarer, declare
crevé, punctured
condamnés, sentenced
clairière, clearing
citron, lemon
capacités, capabilities
avocats, lawyers
attaques, attacks
arrêtent, stop
approximativement, approximately
amère, bitter
tumulte, tumult
stevens, stevens
soulevait, raised
riter, Riter
reconstruction, reconstruction
opaque, opaque
moto, motorcycle
mauve, mauve
graines, seeds
clarisse, Clarisse
secouer, shake
sauraient, can
promène, walk
masques, masks
marines, marine
marchandise, commodity
magiques, Magic
ignorant, ignorant
hormones, hormones
guerriers, warriors
géographes, Geographers
freins, brakes
envahit, invades
entendis, heard
dépens, expense
démarches, approaches
déclarations, statements
déchiré, torn
croyance, belief
conservateur, conservative
conçue, designed
camionnette, van
bouffer, eat
béatrice, Beatrice
allô, hello
verdure, greenery
tranquillité, peace
tigre, tiger
splendeur, splendor
satisfaisant, satisfactory
routine, routine
roulement, rolling
rivières, rivers
rhumatisme, rheumatism
rhône, rhône
récepteur, receiver
moquette, carpet
invente, invented
interrogation, interrogation
intacte, intact
indemnité, indemnity
habitant, inhabitant
feuillages, foliage
exigeant, demanding
envahi, invaded
entrevoir, glimpse
enlevé, removed
emplit, fills
cruelle, cruel
croyons, believe
confédération, confederation
attentivement, closely
affecté, affected
vivons, live
vinrent, came
sève, sap
servante, servant
rencontrent, meet
potasse, potash
portland, portland
péniblement, laboriously
pâtes, pasta
passionné, passionate
malaussène, Malaussene
investigation, investigation
indépendant, independent
fraîches, fresh
farouche, wild
extase, ecstasy
envoyait, sent
doutait, doubted
croyaient, believed
confortable, comfortable
conducteurs, drivers
cloison, partition
cervelle, brain
affirmait, said
teinte, tint
supports, media
souhaiter, wish
souffler, breathe
sommaire, summary
séparément, separately
sculpture, sculpture
remonta, went up
recette, recipe
rauque, hoarse
provient, comes
prolonge, extends
préfecture, prefecture
perçoit, perceives
paragraphe, paragraph
meurent, die
kim, kim
impasse, impasse
guérison, healing
décidée, decided
commentaire, comment
cendre, ash
brin, strand
barrages, Dams
artifice, artifice
aimerait, would like
rêveries, musings
reposant, relaxing
rencontrés, encountered
prononcée, pronounced
panne, breakdown
frontin, frontin
ficelle, string
entrés, entered
effective, effective
discerner, discern
danseurs, dancers
danemark, Denmark
couvertes, covered
contraintes, constraints
consultative, Advisory
confirmer, confirm
cavalerie, cavalry
cargos, cargo
avide, greedy
atroce, atrocious
ambassade, embassy
allonger, lengthen
adressait, addressed
abandonnés, abandoned
seau, bucket
scriassine, Scriassine
rouen, rouen
résurrection, resurrection
remonté, back
précisions, details
portion, portion
porc, pork
pétain, Petain
nécessite, requires
monstres, monsters
menaçant, threatening
jetés, thrown
inflation, inflation
indépendantes, independent
inattendu, unexpected
gérard, Gerard
gagnait, earned
fiancée, fiancee
faulenmuss, faulenmuss
envisage, plans
enseignant, teacher
délicatesse, delicacy
créées, created
contraires, otherwise
conduits, ducts
coefficients, coefficients
boutiques, shops
apprenti, apprentice
antérieures, previous
adjoints, Assistant
sorbonne, fume
séparées, separate
seigneurs, Lords
rigoureux, rigorous
réservoir, reservoir
pic, peak
monarchie, monarchy
moelle, marrow
kaliayev, Kaliayev
issus, from
indiquant, indicating
habitation, home
globales, global
gagna, won
fente, slot
examine, examines
entendus, heard
end, end
dimanches, Sundays
détestait, hated
dégueulasse, disgusting
constantes, constants
conduisant, leading
certificats, Certificates
carento, carento
artificiel, artificial
vend, sells
variantes, variants
tiges, stems
taureau, bull
tabouret, stool
songea, thought
sceau, seal
ressenti, felt
répandue, widespread
réagir, react
parade, parade
menacé, threatened
mathématiciens, Mathematicians
lanterne, lantern
isabelle, isabelle
idéale, ideal
experts, experts
envoi, sending
décors, sets
coussins, cushions
construits, built
connaissant, knowing
confirme, confirms
anime, anime
actifs, active
statique, static
stades, stages
souligné, stressed
privilégiés, privileged
policiers, police
perds, lose
mérites, merits
manquaient, missing
interlocuteur, interlocutor
imprimerie, printing
galets, shingle
frédéric, frédéric
fourré, thicket
ferveur, fervor
féconde, fruitful
entrées, entries
demandez, ask
croisé, cross
cosmique, cosmic
continents, continents
animé, animated
vingts, eighty
tenace, tenacious
stocks, stocks
séparent, separate
repérer, spot
prêté, lent
perpétuelle, perpetual
pardonner, forgive
pans, Allen
pair, peer
oubliait, forgot
orsenna, Orsenna
oblique, oblique
nudité, nudity
mobilité, mobility
mineurs, Minors
marrant, funny
limitation, limitation
lancée, launched
jeannot, jeannot
grimper, climb
froids, cold
freud, freud
flaques, puddles
feutre, felt
entrevue, meeting
entourent, surround
collègue, colleague
bulletin, newsletter
bouffe, food
bouchon, plug
balai, broom
actualité, topicality
abaissement, lowering
vitrée, glass
vidé, emptied
square, square
sommets, vertices
risquent, risk
revendications, claims
prolongée, extended
prêtait, lent
nocturnes, Night
nappes, groundwater
muni, provided
molles, soft
modifie, changes
modestie, modesty
feuillage, foliage
fernand, fernand
essaye, tries
engagements, commitments
enfoncé, pressed
diplomatie, diplomacy
confond, confused
composantes, components
argentine, Argentina
allégresse, elation
vertical, vertical
sociologue, sociologist
salauds, bastards
revêt, is
regardèrent, looked
presser, press
périodiques, periodical
patiemment, patiently
inattendue, unexpected
imperméable, impermeable
estimer, estimate
essayais, trying
détache, off
criminel, criminal
constituées, formed
consacrés, devoted
atteignit, reached
approchant, approaching
accomplissement, fulfillment
absente, absent
wagner, wagner
vécue, lived
transformée, transformed
tons, tones
sonné, rang
sillon, furrow
scrutin, ballot
réunies, combined
octobrei, octobrei
naples, Naples
mortalité, mortality
mariés, married
mâles, males
longueurs, lengths
lise, read
liquides, liquid
latitude, latitude
intact, intact
inquiétant, disturbing
horloges, clocks
exceptionnellement, exceptionally
creuser, dig
condamnation, condemnation
commençais, started
coiffure, hairdressing
aspiration, aspiration
arbitre, referee
approvisionnement, procurement
teneur, content
riton, riton
rhumatismes, rheumatism
résultent, result
rappela, remembered
ramenait, brought
pyjama, pajamas
pleurs, tears
pelouse, lawn
passais, spent
oubliez, Remember
organisées, organized
muraille, wall
marchent, walk
litre, liter
hautement, highly
gilet, vest
gaillard, forecastle
explosions, explosions
exclu, excluded
entourait, surrounded
dorés, golden
dominant, dominant
croissants, increasing
convergence, convergence
contribue, contributes
contenus, content
constructeurs, manufacturers
clocher, steeple
barbares, Barbarians
audience, audience
voyou, thug
verser, pay
ursula, ursula
secoué, shaken
précoce, precocious
précipité, precipitate
parviennent, reach
méchants, wicked
lier, link
incline, tilts
haricots, beans
gorgée, mouthful
gibier, game
carbonique, carbonic
caractérisée, characterized
bourbon, bourbon
aspirations, aspirations
anneaux, rings
abords, edge
vigoureux, strong
verbal, verbal
trêve, truce
torture, torture
tirage, drawing
scrupules, scruples
sauta, jumped
remplie, filled
peignoir, robe
passons, spend
mené, conducted
maçonnerie, masonry
guitare, guitar
formait, formed
feras, wilt
dissolution, dissolution
déposé, filed
conquis, conquered
complices, accomplices
cherchaient, sought
carreau, tile
brigadier, brigadier
bactéries, bacteria
vitalité, vitality
troublé, disturbed
souligne, emphasizes
silences, silences
serment, oath
ruelle, alley
répit, respite
refermer, close
pensai, thought
naïveté, naivety
miettes, crumbs
méfier, beware
langouste, crayfish
inventions, inventions
harem, harem
gratte, scratches
fumait, smoked
forcée, compulsory
fabriqué, made
décembrei, décembrei
débouchés, opportunities
créant, creating
chevilles, ankles
brefs, brief
atteints, with
appartenance, membership
aisé, easy
achevait, completed
tribus, tribes
synthétiques, synthetic
sourds, Deaf
repousser, repel
réfugiés, refugees
piquer, sting
normaux, normal
négociation, negotiation
membrane, membrane
meinthe, meinthe
limitées, limited
instabilité, instability
imprimés, printed
glande, gland
fleuves, rivers
excuses, apology
exclut, excludes
exceptionnelles, exceptional
enveloppé, wrapped
empêché, prevented
distraitement, absentmindedly
cycles, cycles
couchés, lying
cornes, horns
changeant, changing
changea, changed
briquet, lighter
abattu, felled
vifs, alive
vestibule, vestibule
torpeur, torpor
spectaculaire, spectacular
rectiligne, straight
querelle, quarrel
précipita, precipitated
post, Post
pantalons, pants
ovale, oval
obscures, obscure
obliger, force
mixtes, mixed
lille, lille
lazuli, lazuli
itinéraire, route
interdits, prohibited
infection, infection
incidents, incidents
imperceptible, imperceptible
fragment, fragment
football, football
favorise, promotes
entendent, hear
durent, last
dona, donor
cuisson, baking
ciseaux, scissors
arrange, arranges
appréhension, apprehension
administrateurs, Administrators
ultérieurement, later
prof, prof
présidents, Presidents
plongée, diving
platon, Plato
permettez, let
pencher, lean
option, option
observés, observed
nour, nour
mettons, put
merveilles, wonders
mêlait, mixed
maintenu, maintained
jojo, jojo
intérieures, internal
imbéciles, fools
honteux, shameful
germe, germ
gardent, keep
fassent, do
environnement, environment
dominique, dominique
descartes, descartes
contrôles, controls
cissé, cissé
caserne, barrack
carcasse, carcass
approché, approach
album, album
suspect, suspect
supplie, beg
recueil, collection
radiation, radiation
peuplement, settlement
occurrence, occurrence
marquait, marked
levés, survey
hormone, hormone
franche, frank
fournis, provided
dispositifs, devices
déserts, Deserts
coûteux, expensive
contemplation, contemplation
concessions, concessions
comparée, compared
cède, yields
catroux, Catroux
case, square
cannes, canes
bombardement, bombing
baguette, stick
assemblage, assembly
alchimie, alchemy
affectation, allocation
valent, valent
traditionnels, traditional
séparée, separate
regardai, looked
récompense, reward
ramasse, picks up
purent, could
pratiqué, practiced
pensaient, thought
passerait, happen
ouvraient, opened
limités, limited
informer, inform
imaginaires, imaginary
hospitaliers, hospital
habité, inhabited
gardiens, Guardians
dirigeait, directed
descendent, down
construite, built
constantinople, constantinople
chirurgien, surgeon
brasserie, brewery
boy, boy
bachelier, bachelor
affreuse, awful
affiches, posters
vraisemblable, likely
versa, versa
vaudrait, would be worth
tombes, graves
souffla, breathed
reconnaissant, grateful
prétention, pretension
préparés, prepared
penchait, leaned
partielle, partial
obstination, obstinacy
obscurs, obscure
noyé, flooded
monstrueux, monstrous
laid, ugly
israël, Israel
intéressée, interested
fonde, based
eugène, eugene
emprunté, borrowed
employées, staff
effectués, made
dressait, stood
différemment, differently
correspondre, correspond
conquérir, conquer
comparables, comparable
commencèrent, began
closes, closed
caractérisé, characterized
bouffée, puff
arrangement, arrangement
tribune, platform
taillé, cut
repousse, regrowth
rase, open
prothoé, prothoé
présentée, presented
pleut, raining
pittoresque, picturesque
permettaient, allowed
périphérie, periphery
perdit, lost
partielles, partial
muscle, muscle
moule, mold
mortel, deadly
médaille, medal
libertés, freedoms
ivrogne, drunkard
insu, unknown
fermeté, firmness
estimait, estimated
envisagée, considered
durkheim, durkheim
dépassant, than
déchiffrer, decipher
compliquée, complicated
commençant, starting
clichés, pictures
brisée, broken
boulanger, baker
beyrouth, beirut
bêtises, foolishness
barques, boats
ajoutent, add
acquises, acquired
accompagnent, accompany
vieilli, aged
suscite, raises
sévères, severe
sapin, fir
ressentir, feel
rentabilité, profitability
remparts, battlements
prodigieux, prodigious
pedro, pedro
naufrage, shipwreck
musette, haversack
moque, fun
mexique, Mexico
météorologiques, weather
irruption, irruption
incontestable, indisputable
hebdomadaire, weekly
griffes, claws
extraction, extraction
exposés, exposed
exigé, required
emprunts, borrowings
dressée, drawn
divisé, divided
dépose, removal
chèvres, goats
changent, change
cessent, cease
bouillon, broth
baptême, baptism
autonomes, autonomous
arithmétique, arithmetic
acheva, completed
tuyau, pipe
tourbillon, vortex
toilettes, WC
tendrement, tenderly
suffisent, enough
spectres, ghosts
signale, reports
sacrifier, sacrifice
retrouvais, rediscovered
rasé, shaven
promets, promise
potes, mates
pleuré, cried
ment, ment
massifs, massive
marquis, marquis
injures, insults
indigène, native
déterminant, determinant
crasse, grime
chaire, pulpit
bob, bob
baignoire, bathtub
analytiques, analytical
agissent, act
valdès, Valdes
tricot, knitting
timothée, Timothy
subsister, remain
restais, remained
procure, provides
pommettes, cheekbones
plaisanteries, jokes
mordre, bite
lucienne, Lucian
karl, karl
jérémie, jeremiah
indirectement, indirectly
indifférente, indifferent
gymnastique, gymnastics
féroce, fierce
excuser, apologize
encourager, encourage
disposant, with
dignes, worthy
différenciation, differentiation
désirer, desire
demoiselle, damsel
confession, confession
communiqué, statement
coiffeur, hairdresser
caressait, stroked
antérieur, previous
allonge, lengthens
végétal, vegetable
tumeur, tumor
survie, survival
supplément, supplement
sifflet, whistle
pannechon, pannechon
miss, Miss
match, game
mâchoires, jaws
lavabo, sink
jérusalem, Jerusalem
insensible, insensitive
incertaine, uncertain
hache, ax
garda, kept
franchit, crosses
essuie, towels
effectuée, performed
diffèrent, differ
diffère, differs
déterminisme, determinism
couture, sewing
bruns, brown
avignon, avignon
assimilation, assimilation
artisse, Artisse
apparue, appeared
ample, ample
adressé, addressed
achevée, completed
substitution, substitution
serions, would be
saisis, seized
raté, missed
pute, bitch
provisions, supplies
profane, profane
pigeons, Pigeons
opposent, against
occupaient, occupied
nettoyer, clean
mélodie, melody
litres, liters
justesse, accuracy
cuvette, bowl
courantes, common
concernait, concerned
bus, bus
bouquin, book
bizarrement, oddly
attribue, attributes
assassinat, murder
ampoule, bulb
aléatoire, random
abandonnant, abandoning
voleurs, Thieves
usagers, users
urql, urql
tués, killed
trouille, funk
trahir, betray
souvenez, remember
sieste, siesta
shakespeare, shakespeare
rosée, dew
richard, richard
retombe, falls
retentit, sounds
ressent, feels
rencontrait, met
redresse, straightens
reçues, received
rassuré, reassured
prolétariat, proletariat
poussaient, growing
pourriez, could
partent, leave
parlions, talk
paralysie, paralysis
paires, pairs
nomination, appointment
municipaux, municipal
lavé, washed
james, james
heurte, faces
gêner, hinder
fumant, steaming
fermement, firmly
félix, félix
fabuleux, fabulous
dragon, dragon
doutes, doubts
délivrer, deliver
décalage, shift
créations, creations
coller, paste
coiffé, wearing
brusques, sudden
bondit, jumps
turc, Turkish
surprises, surprises
stépan, stepan
salue, welcome
pures, pure
psychisme, psyche
prolongé, extended
paumes, palms
monture, mount
ludique, fun
insuffisant, insufficient
institué, established
insista, insisted
horaire, schedule
hésité, hesitate
dansait, dancing
concrets, concrete
caprice, whim
brunes, brown
bouffées, puffs
avertir, warn
apprentis, apprentices
amusé, amused
travailleur, worker
timidité, shyness
timidement, timidly
prétendu, alleged
méthodique, methodical
marqués, marked
justes, just
instable, unstable
hop, hop
habillée, dressed
grammaire, grammar
géants, Giants
fuyant, receding
existaient, existed
encadrement, framing
directs, Direct
dettes, debts
dés, dice
croît, grows
charmes, charms
capote, hood
buisson, bush
brièvement, briefly
bribes, snippets
barres, bars
autoroute, highway
appelez, call
alliées, Allied
alentours, surroundings
aériennes, air
accomplis, made
stérile, sterile
sanction, sanction
rencontra, met
recherché, sought
rassemblés, gathered
progressif, progressive
procédures, proceedings
pressés, pressed
parvenus, reached
multiple, multiple
misérables, miserable
mercredi, Wednesday
maudit, cursed
laissons, let
intégrer, integrate
inépuisable, inexhaustible
hangar, hangar
grandit, grows
gouffre, gulf
germes, seeds
extraire, extract
espérances, expectations
duchesse, duchess
drogue, drug
croisées, cross
corsage, corsage
contenue, contained
bâtard, bastard
algébriques, algebraic
abondante, abundant
toux, cough
supposé, assumed
supplice, torture
sir, sir
rhum, rum
restrictions, restrictions
restez, Stay
renouveler, renew
regrets, regrets
regardée, viewed
préoccupé, concerned
piges, freelancing
obsession, obsession
intimement, intimately
gardant, keeping
garantir, guarantee
gaie, gay
furieuse, furious
dépourvu, devoid
démontré, demonstrated
danseur, dancer
créent, create
constance, constancy
conquêtes, conquests
abouti, resulted
tensions, tensions
siennes, his own
sérail, seraglio
savions, knew
roland, roland
réglementaire, regulation
présentées, presented
pourpre, purple
oignons, onions
naissent, born
michèle, michèle
massacre, massacre
manifestement, obviously
insensiblement, imperceptibly
havre, haven
guerrier, warrior
gémit, moans
exprimée, expressed
exécuté, executed
exclusif, exclusive
dynamisme, dynamism
doive, should
diffuse, diffuse
dessert, dessert
désolé, sorry
dégâts, damages
confection, making
clémentine, Clementine
cassée, broken
aubain, alien
arrivèrent, arrived
admirables, admirable
accordait, granted
trouvèrent, found
subissent, undergo
sillage, wake
résumer, summarize
restreinte, restricted
répandre, spill
rennes, reindeer
récréation, recreation
réciproquement, reciprocally
permanents, permanent
pédagogiques, educational
palmiers, palm
oser, dare
méchanceté, wickedness
manufacture, factory
lard, bacon
labat, labat
ire, ire
intolérable, intolerable
incomparable, incomparable
guette, watching
gifle, slap
fouiller, search
for, for
flacon, bottle
explorer, explore
entouraient, surrounded
enfuir, flee
emprunt, borrowing
effacé, erased
disciple, disciple
dépendant, dependent
complications, complications
accusation, charge
verse, pays
tremblant, trembling
symptômes, symptoms
souples, flexible
retournée, back
restai, remained
renvoie, returns
rejoignit, joined
reich, Reich
quotidiens, daily
prouvé, proven
protéines, protein
pisser, piss
peigne, comb
payés, paid
papillons, butterflies
interprétations, interpretations
interdire, ban
informé, informed
indigne, unworthy
inaccessible, inaccessible
implacable, relentless
guides, guides
fouilles, excavation
faisions, did
extraordinairement, extraordinarily
exploits, exploits
ethnologie, ethnology
distraction, distraction
christine, christine
bosse, bump
battement, beat
baise, fuck
ancêtre, ancestor
amaury, amaury
venger, revenge
varient, vary
tuyaux, tubing
suggestion, suggestion
sortirent, out
remettait, recovering
recensement, census
présentés, presented
orbite, orbit
nourrit, feeds
migrations, Migration
maïs, corn
lumineuses, light
leclerc, leclerc
jaillit, springs
inventeur, inventor
interdite, prohibited
hegel, hegel
géographe, geographer
fixa, fixed
coulée, cast
corrélation, correlation
convenir, agree
chatov, shatov
bouillie, porridge
bébés, babies
autoritaire, authoritarian
attributs, attributes
assura, assured
archibald, archibald
apprenait, learned
appliquant, applying
aides, aid
use, use
tenues, held
surmonter, overcome
succèdent, succeed
serviteurs, servants
révision, revision
représentés, represented
renard, fox
provenance, provenance
prophète, prophet
profitant, advantage
perturbations, disturbances
oubliés, forgotten
opposées, opposite
légendes, Legends
intendant, steward
immuable, immutable
gomme, gum
glorieux, glorious
ferez, will
dérivés, derivatives
clément, clement
chroniques, Chronic
chauds, hot
catholicisme, Catholicism
bouquins, books
bijou, jewel
berthe, bertha
applicables, applicable
allumettes, matches
allèrent, went
affiche, poster
syndicale, union
suffira, suffice
sécrétion, secretion
scapin, scapin
saisissant, striking
sacrés, sacred
rubans, ribbons
rouleaux, rolls
retrouvai, retrouvai
renversé, reversed
rédiger, write
ralentit, slows
pieux, pious
peloton, pack
peintes, painted
libéral, liberal
jambon, ham
jaillir, flow
incertain, uncertain
honneurs, honors
greffe, graft
gravier, gravel
formées, formed
esclavage, slavery
emprunter, borrow
douane, customs
devriez, should
dessiné, drawn
contribuer, contribute
confrontation, confrontation
colonie, colony
cite, cites
chinoise, Chinese
chèvre, goat
bidon, can
béret, beret
associée, associated
turquie, Turkey
trempé, hardened
timbres, stamps
taule, slammer
situées, located
signalons, note
sain, healthy
qualification, qualification
pourvus, filled
poison, poison
natalité, natality
mènent, lead
lucille, lucille
jonas, jonas
impulsions, pulse
hurla, yelled
huitième, eighth
hôtes, hosts
grâces, thanks
généralisation, generalization
extraits, extracts
entendons, mean
efficacement, effectively
devienne, becomes
deviendrait, would 
détriment, detriment
défiler, scroll
continuellement, continually
constituaient, were
confirmé, confirmed
configuration, configuration
compare, compares
cible, target
charte, charter
calculé, calculated
cachés, hidden
buée, mist
brèves, brief
bourreau, executioner
attaqué, attacked
anxiété, anxiety
angel, angel
winston, winston
vases, vases
turcs, Turkish
souri, smiled
soufre, sulfur
simone, simone
saxons, Saxon
satellites, satellites
réparation, repair
réglée, set
pull, sweater
primes, premiums
pourrez, can
polo, polo
options, options
mary, mary
mâchoire, jaw
libère, releases
imprévisible, unpredictable
houle, swell
hocha, shook
gratuit, free
flottant, floating
engendre, generates
dosage, dosage
disponibilité, availability
dirigeant, leader
directes, direct
commandait, commanded
chantent, sing
bénéficient, benefit
agiter, shake
vital, vital
végétale, plant
souvint, remembered
souterrain, underground
séduire, seduce
ronces, brambles
rameau, branch
parapluie, umbrella
nietzsche, nietzsche
mrs, mrs
mailles, mesh
livrée, livery
lacs, lakes
grossier, coarse
goethe, goethe
futures, future
fraternité, brotherhood
fragilité, fragility
facilités, facilities
espérais, hoped
dévouement, devotion
descends, down
crochet, hook
consentement, consent
consacre, dedicated
complication, complication
cardinal, cardinal
assistants, assistants
apportant, bringing
accepta, accepted
vitamine, vitamin
violentes, violent
tristement, sadly
télépathie, telepathy
tarif, rate
souveraine, sovereign
sonnait, sounded
sirène, siren
scie, saw
revivre, relive
ressource, resource
recula, recoiled
publiés, published
protecteur, protective
possédaient, had
pendait, hung
parent, relative
paquebot, boat
osier, wicker
ordonné, ordered
mammifères, mammals
lescrabes, lescrabes
instituts, institutes
denrées, food
copies, copies
confusément, confusedly
compression, compression
clubs, clubs
clairvoyance, perspicacity
bille, ball
ambiguïté, ambiguity
admise, admitted
weber, weber
voudrez, want
ulysse, ulysses
traître, traitor
signifier, mean
revit, relives
restaurants, restaurants
rencontrée, encountered
rail, rail
radicalement, radically
