qué what
grites shout
acepte accept
objetivos objectives
decida decide
misericordia mercy
insoportable insupportable
investigaciones research
propiedades properties
llevaste you took
doris doris
aparecen are
entrenar train
comunicaciones communications
diviértete have fun
incluye includes
cuchillos knives
volved go back
contaba had
billetera wallet
charlar chat
permites let
acababa just
mátame kill me
ultimo last
marrón brown
cancelar cancel
grecia Greece
asustaste scared
traicionado betrayed
otto otto
escondite hideout
sacando taking
jill jill
lamentablemente regrettably
anos years
políticas policies
julian julian
escondidas hidden
moriría die
melodía melody
tardaré it take
mear piss
conejos rabbits
levantó up
extrañé missed
comenzando starting
garantía warranty
fuí I was
hada fairy
usarla use
encantaba loved
estable stable
vías pathways
batallón battalion
asquerosa disgusting
shane shane
relámpago lightning
asumir assume
sorpresas surprises
previsto provided
deshacerse dispose
joyce joyce
ordenar order
campanas bells
pagamos paid
reparar repair
ejercito Army
conteste answer
limón lemon
casey casey
leyó read
dicha that
cercana close
comprando buying
clyde clyde
ambición ambition
quedando being
bernie bernie
creció grew
sana healthy
irlandés Irish
diane diane
abogada lawyer
especialidad specialty
correos post
capturado captured
dueña landlady
salvarte save
parecían seemed
duermas sleep
pónganse please
fijo fixed
rudy rudy
gol goal
ácido acid
conquistar conquer
quitarle take
clarence clarence
homer homer
carajos fuck
atacaron attacked
nucleares nuclear
tirador shooter
desgraciadamente unfortunately
toqué I played
hoteles hotels
nicholas nicholas
necesariamente necessarily
situaciones situations
triunfo triumph
inferior lower
demostración demonstration
ruinas ruins
calzones pants
disfrutando enjoying
músicos musicians
roberts roberts
bromeo joke
basado based
retrocedan recede
estrés stress
tiras strips
aah aah
radiación radiation
celebración celebration
entere aware
samurai samurai
logan logan
alboroto riot
concierne concerns
carruaje carriage
solitaria solitary
comprometido committed
primos cousins
salchichas sausage
baloncesto basketball
arrestaron arrested
inventó invented
dispositivo device
descubre view
vagón wagon
irene irene
debían were
sullivan sullivan
marta marten
sheila sheila
harrison harrison
cruzando crossing
estupideces crap
eternamente eternally
morris morris
atacado attacked
agarró grabbed
levanten raise
zapatillas slippers
establecer establish
ramera harlot
carnicero butcher
solíamos we used
conseguirás get
reciente recent
asilo asylum
dedicado dedicated
boris boris
trevor trevor
debíamos we had
evans evans
impulso momentum
orinar urinate
bruto gross
encontraría find
penas penalties
leíste read
curva curve
cody cody
ejecutivo executive
viena VIENNA
napoleón Napoleon
sydney sydney
prepare prepared
deliciosa delicious
crítico critical
hamburguesas hamburgers
desear want
duerma sleep
enojar anger
supremo supreme
grabado recorded
sonidos sounds
samuel samuel
tuviéramos we had
recibiste received
necesaria necessary
perdono forgive
apuro trouble
desnudos naked
asistir attend
obedecer obey
conectado connected
estreno release
entregado delivered
cayeron fell
guardo I keep
caca poop
bate bat
cómplice accomplice
directora director
callate shut up
explicarte explain
medicinas medicines
dude dude
norma rule
abandona leaves
intelectual intellectual
palos sticks
agradecer thank
hugo hugo
menú menu
madrugada morning
ocuparme deal
michel michel
venían came
tocan touch
freddie freddie
denny denny
què què
lucky lucky
corren are
marion marion
cansados tired
acostarte bed
manejando driving
convertirme become
sinvergüenza cad
castigado punished
matarle kill
samantha samantha
fingiendo pretending
zar czar
flecha arrow
categoría category
sesenta sixty
anillos rings
perfección perfection
conocidos known
chistoso funny
cambiaron changed
monty monty
triple triple
enséñame Show me
taberna tavern
retirar remove
casaré marry
declaro declare
comeré eat
vístete dress
comencemos begin
sirva serve
doyle doyle
ocupar occupy
venda band
fletcher fletcher
usaré I will use
promete promises
crío child
temblando trembling
buda Buddha
atracción attraction
criar raise
terminaron ended
invento invention
flynn flynn
navegar surf
miento treatment
http http
patadas kicks
sacarle get
trabaje work
voló flew
madison madison
explique explain
mundos worlds
posee has
confirmado confirmed
promedio average
rencor rancor
combatir combat
viví I lived
satisfacción satisfaction
jules jules
empiecen begin
scotty scotty
sharon sharon
casaste married
supuestamente supposedly
autorizado authorized
ardiente burning
tomaba took
bastón stick
pertenecen belong
suelte release
robinson robinson
sácalo take it out
tinta ink
boxeo boxing
doncella maiden
amos Masters
líquido liquid
basada based
pensaron thought
jerusalén Jerusalem
enseñé showed
troy troy
independencia independence
psicópata psychopath
reunido gathered
interrogatorio interrogation
insignificante insignificant
comunes common
tiré I threw
evidentemente obviously
tarda takes
entendió understood
katherine katherine
naturales natural
masacre slaughter
murray murray
pieles skins
oraciones prayers
atento attentive
cleveland cleveland
lloviendo raining
lorenzo lorenzo
vosotras you
mesas tables
crucero cruise
encontrarse be
aprieta press
drogado high
ino ino
leña wood
tomarme take me
apagado off
cuna cradle
rama branch
mariposa butterfly
cuelga hanging
difunto deceased
duró lasted
inventado invented
brisa breeze
vendí sold
pacto pact
spencer spencer
vestir dress
aumentar increase
cameron cameron
femenina female
historial record
luchador fighter
debieron should
escucharlo listen
bienestar welfare
estallar burst
mayordomo butler
absoluta absolute
juguemos we play
jugaba played
holly holly
rindo surrender
deprimido depressed
factura bill
hacienda estate
inútiles useless
estàs these
resiste resists
diferencias differences
sientan feel
persecución persecution
atacan attack
alumno student
cógelo take it
querrán want
debate debate
delicada delicate
ahorros savings
millonario millionaire
acompañarme accompany
cerró closed
saltó jumped
autopsia autopsy
granada grenade
disparan shoot
trece thirteen
prepararé prepare
suélteme let me go
huésped guest
lavandería laundry
andrea andrea
estudiado studied
crecen grow
costumbres manners
mito myth
enfermería nursing
llevaban had
ganará win
torres towers
logra achieved
olvídelo forget it
empezaremos start
halcón falcon
cuadra block
maravillosos wonderful
manny manny
carros cars
bata coat
molestarte bother
traficante trafficker
protegido protected
duras hard
bishop bishop
perlas Pearls
vecina neighboring
saliera out
pleno full
joda Fuck
hablabas talking
bestias beasts
set set
acabemos end up
supermercado supermarket
ernie ernie
sopla blows
lava lava
escuchamos listen
exacta accurate
ingresos income
héctor Hector
indicado indicated
disfruten enjoy
cliff cliff
portada front
protector protector
renuncia resignation
liberado released
oveja sheep
establo barn
suavemente gently
jeremy jeremy
delta delta
lloras cry
metiendo getting
nate nate
merecido deserved
hablábamos we talked
visual visual
arde burns
infantería infantry
obtuvo was
caigo fall
comparado compared
mozo young
mademoiselle Mademoiselle
gilbert gilbert
obsesión obsession
claridad clarity
asesinaron killed
trágico tragic
confuso confused
mandaré send
pesos weights
ohh ohh
bum bum
omar omar
mudo dumb
extrañar surprise
romántica Romantic
italiana Italian
dejaras leave
empezaste started
marines Marines
matrícula enrollment
cuidadosamente carefully
guay cool
fans fans
antiguas old
automático automatic
beverly beverly
gastado spent
explico explain
drake drake
ciaro ciaro
enfades angry
gustaban liked
producir produce
terrorismo terrorism
avanza advances
acostumbrada used
vientos winds
zonas areas
caramelos candy
postura stance
disfrute enjoyment
costillas ribs
elemento element
perderás lose
llevarle take
arrancar start
refrigerador refrigerator
centímetros centimeters
aparta away
marchado left
rio river
marvin marvin
vídeo video
kathy kathy
esperándote waiting
noté I noticed
jen jen
revelar reveal
aprobación approval
kane kane
ritual ritual
culpar blame
pongamos say
gwen gwen
pam pam
pis pee
web web
fundación foundation
principalmente mainly
uniformes uniform
wang wang
conversaciones talks
infarto infarct
corra run
reed reed
sumamente extremely
riley riley
sígame follow me
acabé I ended
quemó burned
sucias dirty
ignorante ignorant
casamiento marriage
potter potter
bici bike
dee dee
brenda brenda
roberto roberto
esconderse hide
preciosas precious
sugiere suggests
vehículos vehicles
cerradas closed
déjenlo let him
frágil fragile
limpiando cleaning
ando I'm
charley charley
luther luther
limpias clean
favores favors
avanzando progress
rex rex
guarde save
engañando cheating
paloma pigeon
arroyo stream
parad parad
operadora operator
frito fried
bart bart
disparé shot
traerlo bring
agradecerle thank you
montaje mounting
durmió slept
ocurren occur
excelentes excellent
tradicional traditional
pudiese could
voluntarios volunteers
impide prevents
dejarlos leave
cacería hunting
ahh ahh
sabias wise
vaqueros jeans
che che
mantenerse keep
fan fan
bromeaba joking
deseado desired
prudente prudent
ilusiones delusions
suicida suicide
dolió hurt
etiqueta label
ricardo ricardo
llegaba reached
poderosos powerful
declarado declared
sonriendo smiling
flotando floating
encaja fits
sudor sweat
sirena siren
convento convent
presentarles present
arreglos arrangements
inicial initial
vanessa vanessa
reparto distribution
bichos vermin
perdedores losers
entiendas understand
hechizo spell
muñeco doll
denle give him
llegarás arrive
añadir add
nocturna Night
mutuamente mutually
consulta consultation
existía was
falleció died
llegaría would
atraparon caught
day day
premios Awards
rana frog
debas you should
colocar place
emergencias emergency
agradecería appreciate
barril barrel
perdonen pardon
sebastian sebastian
detendrá stop
arriesgar risk
religioso religious
bretaña Brittany
vestíbulo lobby
soda soda
orleans orleans
pum pum
cambias change
time time
misteriosa mysterious
periodo period
crecimiento growth
nobles noble
ocupación occupation
corrió ran
mrs mrs
anteojos glasses
saint saint
creería believe
rosie rosie
malcolm malcolm
obligó forced
stewart stewart
abiertas open
envían sent
enterrar bury
cambiarme change me
encantar love
identificado identified
perderé lose
visitantes Visitors
excepcional exceptional
traía brought
terremoto earthquake
solucionar solve
joy joy
abrí I opened
ofrecido offered
tomaría would
enseñarme teach
adicto addict
contenido content
madrid Madrid
ejercicios exercises
mantienen maintain
tardar latest
sonia sonia
preston preston
contactar contact
demostrado shown
tuviese had
arreglaremos fix
alturas heights
guardado guarded
formal formal
entregó delivered
maravillosas wonderful
opiniones views
jessie jessie
institución institution
monta mounted
desprecio contempt
poemas poems
signos signs
capilla chapel
suene sound
envíen send
miranda miranda
tucker tucker
aprisa quickly
pabellón pavilion
legales legal
philippe philippe
desaparecieron disappeared
papás Dads
construyendo building
galaxia galaxy
protegerte protect
olga olga
desaparición disappearance
reynolds reynolds
significan mean
increible incredible
cavar dig
humphrey humphrey
prostitutas prostitutes
pondrás put
jorge jorge
plaga plague
sujetos subject
artificiales artificial
quedaste stayed
necesitabas needed
reservas reserves
docenas dozens
harper harper
estabamos we were
elefantes Elephants
mares seas
llévalo take it
mula mule
joya jewel
paulie paulie
juegues play
ayudan help
enamoré in love
conseguirá get
quitarte take off
bajado down
cuernos horns
sirviente servant
engañó Framed
benjamin benjamin
embarazo pregnancy
empezaba beginning
sonó rang
tito tito
aléjense turn away
órganos organs
alicia Alice
hallamos we find
abuelita granny
agradecida grateful
decidieron decided
controlado controlled
acusa accused
dormiste slept
sirvió served
eléctrico electric
metieron put
obliga forces
antepasados forefathers
galleta cookie
extras Swimming
asegurarse ensure
aumenta increases
planetas planets
eco echo
martín martin
simone simone
valga worth
pegarle hit
enfermeras nurses
claudia claudia
lunar lunar
deberias you should
varón male
cargamento cargo
farsa farce
escritura writing
sentirá feel
televisor TV
resfriado cold
sobrevivió survived
abejas Bees
quê Quê
adolescentes adolescents
manejarlo handle
presentarme introduce
parecería seem
fino fine
dispares disparate
habernos us
conociera know
compartimos share
min min
traidores traitors
hábito habit
muros walls
nietos grandchildren
perderá lose
fabulosa fabulous
dirigida directed
caramelo candy
carson carson
japonesa Japanese
cachorro puppy
atrevido bold
sofía Sofia
invitada guest
tráelo bring it
víbora viper
rápidos rapid
síntomas symptoms
atrevas dare
out out
marineros Sailors
pretendo intend
inventar invent
capturar capture
queriendo wanting
enseñe teach
barriga belly
confirmar confirm
cerradura lock
echando casting
destruye destroyed
averigua see
escolta escort
delincuente offender
declaraciones statements
transferencia transfer
públicas public
traseros back
becky becky
mínima minimum
comerciales commercial
separación separation
continente continent
desconocida unknown
trueno thunder
lydia lydia
cocinera cook
melissa melissa
rompiste broke
mordió bit
ego ego
intimidad privacy
terraza terrace
dorada golden
fallar fail
manuel manuel
mercedes mercedes
recordaré remember
one one
tenias Tapeworms
cuái cuái
salidas Departures
únicamente only
preparo prepare
lake lake
zoe zoe
orina urine
físicamente physically
detén Stop
aiguien aiguien
exteriores Outside
arruinó ruined
sospechas suspicion
eché burst
practicando practicing
timón helm
altar altar
elaine elaine
anunciar advertise
diligencia diligence
pollos chickens
judicial judicial
elegí I chose
círculos circles
nace born
alcanzado reached
tentación temptation
cargada charged
científica scientific
acusaciones charges
condenados sentenced
vuelan fly
mexicano Mexican
colorado red
mirá Look
champagne champagne
zoológico zoological
cepillo brush
pendientes pending
sentiste felt
manada herd
frutas fruits
comprarme buy
séptimo seventh
marcar mark
griegos Greek
abras open
monja nun
sentarnos sit
val val
mantenimiento maintenance
fantasías fantasies
marciales Martial
salvarme save
woody woody
soo soo
muérete die
tijeras scissors
actúas act
esther esther
mónica monica
jodidamente fucking
temen fear
intentaron attempted
pillado caught
hospitales hospitals
perderemos lose
une binds
devuélveme give me back
malvada Evil
paquetes packages
entrevistas interviews
cargando loading
constitución constitution
mande send
cohetes rocket
hábil skillful
secuestrado kidnapped
herir hurt
argumento argument
pausa pause
pretendes intend
provecho profit
tiren throw
fijado set
brandon brandon
internos internal
cago shit
camisas Shirts
contratos contracts
cueste cost
ofender offend
agradecimiento gratitude
anual annual
preocupaba concerned
convertirá become
violín violin
sonaba sounded
comiste ate
regresaremos back
mortales fatal
protesta protest
calzoncillos briefs
acercan close
pagarás pay
cálmense calm down
recuperado recovered
exige requires
destruyó destroyed
farmacia pharmacy
acordamos agreed
supuse I assumed
pareciera seems
evolución evolution
millie millie
ciegos blind
decís say
carolina carolina
deshazte get rid
religiosa religious
meten put
desconocidos unknown
antoine antoine
baxter baxter
june june
estúpidas stupid
gancho hook
armar arm
preocupan concerned
barrera barrier
sorprendería surprised
materiales materials
quitaron off
autógrafo autograph
comienzan begin
alquilar rent
duermen sleep
recomiendo recommend
tronco trunk
dígales tell
perras bitches
negó denied
novias Brides
eleanor eleanor
avisado informed
seguirán will
cambiamos change
atentamente attentively
deberás must
gritó cried
mencionado mentioned
exhibición exhibition
ballena whale
complicada complicated
quítame take away
cap cap
gordos fat
aconsejo advise
asia Asia
videos Videos
botín booty
mantenerme keep
ichi ichi
salvé saved
coman eat
aló hello
senos breasts
cambiaste changed
world world
costar cost
falló failed
atiende serves
estudié studied
proyectos projects
ganarse earn
firmó signed
recordarlo remember
madura mature
batallas battles
brutal brutal
favoritos Favorites
doler hurt
pobrecito poor
hubieses 'd
duquesa duchess
fumas smoke
hills hills
catorce fourteen
ríos rivers
acercó approached
medicamentos drugs
sun sun
legalmente legally
mascotas Pets
volvimos returned
recuperación recovery
hondo deep
peinado hairstyle
natalie natalie
hee hee
ansiedad anxiety
consiguen get
pasajero passenger
describir describe
barca bark
paja straw
incendios fire
acercando approaching
enteró learned
suéltala drop it
novelas novels
planea plans
interpretación interpretation
ayudarles help
pagarme pay me
lecho bed
dada given
marianne marianne
raíz root
estribor starboard
down down
dolares dollars
doscientos two hundred
seguid follow
mantuvo maintained
regaló gave
marcado marked
reportero reporter
inspección inspection
necesitábamos needed
tarado tared
sacarla remove
visiones visions
sacaremos will draw
tropa troop
perímetro perimeter
cortas short
rabino rabbi
corrupción corruption
despegue takeoff
prestar provide
sobrio sober
patricia patricia
mae mae
with with
perderte miss
furiosa furious
daban gave
echarme me out
perdería lose
american american
art Art
asustes panic
rechazado rejected
sirvientes servants
cuidadoso careful
creían believed
ivan ivan
divierte Sports
cifras figures
haríamos we would
dirijo address
próximas next
restaurantes restaurants
evan evan
aterrador frightening
picnic picnic
pidas ask
tímida shy
concreto concrete
dedicas spend
brindemos toast
tuvieran had
estudia study
terminan end
delgada thin
latas cans
católica Catholic
mierdas shit
parados unemployed
hogares homes
kilo kilo
plomo lead
sombreros hats
discursos speeches
suicidarse commit suicide
orfanato orphanage
muestre show
matanza killing
matones Bullies
importará import
emboscada ambush
esclava slave
sencillamente just
interno internal
polaco Polish
abe abe
descubrieron discovered
mantenerte keep
supervisor supervisor
bares bars
borrar delete
mantenido kept
soviética Soviet
práctico practical
despegar take off
contraseña password
randall randall
infección infection
flint flint
fisher fisher
moveos MOVE
pagaron paid
posada inn
interna internal
uses use
intenso intense
quito remove
cartero postman
mandaron sent
boxeador boxer
documental documentary
yenes yen
abeja bee
cobertura coverage
gil gil
ayudes your help
milla mile
entretenimiento entertainment
sacan take
contador counter
delincuentes offenders
separarnos separate
lena lena
chicle gum
hormigas ants
reciben are
cantaba singing
hablaron spoke
explicarle explain
cross cross
comas commas
cooperación cooperation
robots robots
chao bye
tremenda tremendous
podrido rotten
registrado registered
cosita thingy
venus Venus
respirando breathing
post post
america america
directores directors
operar work
mide measured
olvidemos forget
llamados called
iniciar start
tango tango
busquemos seek
culto cult
porter porter
april april
movido moved
vigilante vigilant
particularmente particularly
billar billiards
generosa generous
batman batman
cortos short
tomarte sip
phoenix phoenix
activo active
recta straight
afganistán Afghanistan
arquitecto architect
reflejo reflection
devuelve returns
guante glove
unir join
olvidaba forgot
belle belle
saldría would
especies species
marilyn marilyn
apresúrate Hurry
descansen rest
denuncia complaint
iván Ivan
contestó said
acelera accelerates
surgió emerged
parlamento parliament
sobrevivientes survivors
sobrevivido survived
recado message
hallé I found
encendida ON
crack crack
austin austin
valentía courage
asado roast
ohio Ohio
regresas go back
rival rival
humanas human
sendero path
labor work
valía worth
asustar scare
ratones mice
respeta respects
grandeza greatness
apoyar support
ingenioso ingenious
stu stu
helada frost
mudó moved
abuso abuse
manga sleeve
lazo loop
despreciable negligible
verduras vegetables
house house
bandeja tray
equivocados wrong
referencia reference
explorar explore
mai mai
morimos die
cásate Marry
infiel unfaithful
silencioso silent
cantan sing
creando creating
mantendré keep
escucharon heard
dijeras you said
pajarito birdie
afortunados fortunate
rifles rifles
guardas guards
armonía harmony
cría breeding
contéstame hit me back
moisés bassinet
impaciente impatient
filmando shooting
bendita blessed
larguémonos let's get out
puros pure
vil vile
presentaré introduce
dante dante
aceptaré accept
campesino peasant
despidieron fired
quedate Stay
comprarte buy
bert bert
duérmete Go to sleep
agarré I grabbed
chi chi
hicieran do
dales give them
abren open
jura swears
lastima hurt
cómodos comfortable
tobillo ankle
hablara talk
ginger ginger
veloz fast
reducir reduce
churchill churchill
sujeta subject
desperdicio waste
quítense take off
despejen cleared
nevera fridge
circuito circuit
suéltenme let me go
detención detention
escúchenme listen to me
abres open
burt burt
palma palm
invité I invited
ayudé I helped
coordenadas coordinates
cosquillas tickle
insulto insult
técnicas techniques
pólvora powder
virgil virgil
claras clear
paracaídas parachute
ponla put it
creerás believe
industrial industrial
levanto get up
oscuros dark
bando side
conocieron met
agradecerte thank you
regresaste came back
milo milo
wall wall
inmortal immortal
norteamericano American
nadando swimming
cambiaría change
hamilton hamilton
estupido stupid
trigo wheat
frenos brakes
palmer palmer
ponle ponle
furgoneta van
estelar stellar
eli eli
jeep jeep
pedo fart
privacidad Privacy
serviría would
peluca wig
cuerno horn
frases phrases
creyendo believing
santidad holiness
caía fell
saldrán will
payasos clowns
ring ring
efectivamente in fact
ponernos get
paulo paulo
besarte kiss
ies ies
latín Latin
regular regular
chaleco vest
bloqueo block
mapas maps
llévatelo take it
atascado stuck
rogers rogers
realista realistic
this this
volverse become
deseamos We wish
camarote cabin
escoge choose
joel joel
erik erik
cortaron cut
demora delay
perfectos perfect
yate yacht
viajado traveled
ballenas whales
supongamos suppose
carreta cart
buzz buzz
zeus Zeus
denver denver
nixon nixon
termines finish
cardenal cardinal
paraguas umbrella
evelyn evelyn
escogido selected
apártense depart
suprema supreme
delantera lead
terminal terminal
placas plates
encárgate Take care
apoya supports
permitió allowed
respetos respects
satanás Satan
envidio envy
dele give
atrapa traps
lamentable regrettable
generador generator
acordado agreed
munición ammunition
montado mounted
permítanme let me
balcón balcony
empacar pack
disparaste shoot
baltimore baltimore
paramos stop
toallas towels
ensayar test
rescatar rescue
solías you used
presentarle present
sensual sensual
nieta granddaughter
escocés Scottish
chu chu
montana Montana
dana dana
púdrete Fuck
bases basis
convirtiendo becoming
habiendo having
reunirse join
dirigen directed
sentó sat
angustia distress
trataron treated
cruza crosses
carreteras roads
ciclo cycle
conocernos know
acuéstate lie
lastimarte hurt
interpretar interpret
pelicula movie
mérito merit
granjeros farmers
juntar collect
tranquilamente quietly
wells wells
pasemos move on
avísame let me know
libra pound
aparezca appears
congelado frozen
mejorando improving
sonando ringing
sake sake
arturo Arthur
molino mill
chatarra scrap
edith edith
cuervo raven
odiar hate
futura future
explicaciones explanations
floyd floyd
confundida confused
perdonado forgiven
cristiana Christian
pondrán will
dispárale shoot
británica British
golpeando hitting
simpática sympathetic
perseguir pursue
garras claws
bombardeo bombing
creador creator
alba dawn
aleja away
cierro close
fort fort
reno reindeer
refresco refreshment
aseguraré make sure
cortina curtain
alaska Alaska
verificar check
aceptamos accept
glenn glenn
piérdete get lost
artie artie
cuestiones issues
armadura armor
comprensión understanding
bailey bailey
fruto fruit
avergonzada ashamed
usaremos we use
traten try
mandan send
alabado praised
colgando hanging
exijo I demand
robbie robbie
pórtate behave
nomás just
velo veil
obsesionado obsessed
quítese remove
rezo prayers
muerde bites
harriet harriet
localizar locate
unidas together
pálido pale
grand grand
arre arre
irlanda Ireland
atacando attacking
horizonte horizon
ilegales illegal
quemando burning
amen amen
carrie carrie
descuento discount
natal home
láser laser
dirigido addressed
estancia stay
recordaba remembered
atardecer late afternoon
consideración consideration
vivían living
confíe trust
acepté accepted
década decade
litros liters
implica implies
escritores writers
pedirme ask
reportaje reportage
separar separate
matara kill
funciones functions
vistas views
sentamos sat
remoto remote
pascua Passover
refugiados refugees
ofrecen offer
perteneces belong
ábrelo open it
consiste is
camello camel
tránsito transit
usaste you used
got got
nerviosos nervous
pertenezco belong
atajo shortcut
recibes get
atraer attract
hablaban spoke
propaganda propaganda
convertí became
cualidades qualities
queramos want
descansando resting
provocar provoke
fugitivo fugitive
buque vessel
determinar determine
martini Martini
viviente living
cuaderno notebook
harina flour
encerrada enclosed
mejora improvement
entenderá means
hazle let him
eventualmente eventually
maridos husbands
encontrarle find
mocoso brat
turco Turkish
enseñaron taught
engañarme deceive
cynthia cynthia
moverte move
pellejo skin
declaró said
stalin stalin
limonada lemonade
relojes watches
lanzó launched
bailas dance
bloque block
cadillac cadillac
stevens stevens
completar complete
escribía wrote
márchate go away
hallado found
profeta prophet
reciba get
jinete rider
levántese get up
sostener support
permitirá will
recorrer travel
flaco thin
engaña cheats
causas causes
roosevelt roosevelt
elsa elsa
suaves soft
resumen summary
preciosos precious
hierbas Herbs
estuviéramos we were
enseñando teaching
sospecho suspect
echen throw
enfrentarse face
aroma aroma
déjalos let them
servirle serve
códigos codes
olvidamos forget
molestias discomfort
crueldad cruelty
hermandad sisterhood
admitirlo admit
moverme move
mantengo keep
vendes sell
vicky vicky
calendario calendar
cemento cement
separamos separate
cesar cease
bebamos drink
examinar review
exceso excess
protesto protest
corres run
pasarme spend
solían used
asusté scared
comprometida committed
anochecer dusk
mirarte look at you
armstrong armstrong
camille camille
régimen regime
crane crane
chantaje blackmail
boom boom
decido I decide
griffin griffin
morrison morrison
publicar publish
integridad integrity
cancha court
informa reports
hudson hudson
roban rob
helados ice
reich reich
tesoros treasure
amé I loved
basurero dump
provincia province
ofendido injured
ofensiva offensive
grandote huge
barras bars
sadie sadie
besa kisses
facil easy
noto notice
cambiarlo change
veros see you
ensayos trials
conocimientos knowledge
tejido tissue
chen chen
otis otis
anteriores previous
patear kick
suenas you sound
gasolinera gas station
jon jon
órbita orbit
hunt hunt
melanie melanie
dondequiera wherever
now now
traerte bring
enviando sending
norteamericanos Americans
freno brake
descubrimos discovered
entendía understood
setenta seventy
nevada snowfall
perdon sorry
blair blair
retroceder back
formidable formidable
escondida hidden
percy percy
huido fled
paras stop
agradecemos thank you
anton anton
jefferson jefferson
discutimos discuss
díganme tell me
captura capture
celestial heavenly
cuestan cost
abuelos grandparents
póngame gimme
afectado affected
tigres Tigers
tomates tomatoes
quinn quinn
entrenado trained
niñez childhood
quitas remove
bajaré I will go down
llamara call
bailes dances
fideos noodles
ignorar disregard
dándole giving
adoran worship
comeremos eat
are are
empezaré begin
cicatrices scars
explotó exploded
escondiendo hiding
enviamos send
incluido included
provoca causes
square square
coges you take
calibre gauge
acondicionado conditioned
besado kissed
bailarín dancer
mostrado shown
investigador researcher
trozos pieces
esperaban expected
apuros trouble
cigarros cigarettes
marcel marcel
áreas areas
significar mean
convertirte become
acercarme approach
palanca lever
rotos broken
teorías theories
argentina Argentina
filete steak
divertirme fun
yardas yards
suelten loose
dibujar draw
revisión review
pégale hit him
honestidad honesty
instalaciones facilities
comunicado release
ramas branches
condenada sentenced
luchamos fight
histórico historical
pais country
dormiré sleep
hacerlos them
protocolo protocol
estropeado damaged
nudos knots
digitales digital
fronteras borders
ajo garlic
einstein einstein
discreción discretion
admirador fan
ondas waves
cebolla onion
enteras Whole
musica Music
dudar doubt
rechazar reject
tocarme touch me
artístico artistic
can dog
chad Chad
renuncio waive
máscaras masks
convierta becomes
gritaba shout
psicología psychology
defensor defender
proa bow
wolf wolf
porfavor please
stephanie stephanie
dawn dawn
pulgar thumb
extranjera foreign
devuelvo I return
amenazó threatened
monroe monroe
noah noah
denise denise
surf surfing
opuesto opposite
pertenecía belonged
llevarlos take
admite supports
frances French
cuan how
salid go out
corrí I ran
ríen laugh
subí I went
brady brady
phillips phillips
intentaste tried
but But
podrias you could
viviré live
necesitaría need
abrid open your
enlace link
road road
sueña dreams
abraham abraham
pijama pajamas
básico basic
know know
fija fixed
eminencia eminence
alterado altered
financiero financial
autobuses bus
trajimos brought
sherman sherman
háganlo do it
naomi naomi
desgraciada unfortunate
usen use
aparecido appeared
enojes angry
avisaré will notify
pensábamos thought
morgue morgue
billones billion
amelia amelia
pretendía intended
facilidad ease
talentos talents
obligaciones liabilities
echamos cast
inesperado unexpected
pensara think
burdel brothel
avanzado advanced
aspectos aspects
judas Judas
excursión excursion
canales channels
foster Foster
bradley bradley
hawai Hawaii
paco paco
grabando recording
únicas only
avanzada Advanced
precisa accurate
poste post
pesados heavy
peleamos fight
marqués marquis
angie angie
onu UN
santuario sanctuary
calmado calm
disculpo apologize
sirvienta maid
abrázame hold me
subiré go up
callas shut up
tripas guts
urgencia urgency
nana lullaby
agresión aggression
sasha sasha
clásica classical
like like
modesto modest
rehabilitación rehabilitation
insistió stressed
tomarse be
rebaño herd
rostros faces
enviaste sent
powell powell
stevie stevie
ochenta eighty
masas masses
hipoteca mortgage
cuadras blocks
flash flash
corazon heart
rompiendo breaking
encontrara find
perpetua life
consecuencia consequence
cálido warm
gotas drops
satisfacer meet
medallas medals
distinguir distinguish
pala shovel
basa basa
votación vote
selección selection
kira kira
escucharte listen
ayudaste helped
violenta violent
pregúntele ask
pagarán pay
amarte love you
ocuparse deal
podia could
aceptan accepted
sabrías would know
gripe flu
nueces nuts
abriré I will open
pésimo abysmal
hambrientos hungry
cargas loads
explorador explorer
soplón snitch
cometiendo committing
tenso tense
lucía looked
meg meg
tardado taken
hallaron found
simpson simpson
atlanta atlanta
chile chili
eugene eugene
pañales diapers
ancho width
hop hop
dominio domain
salvarlo save
quienquiera whoever
descarga discharge
conocéis know
tubos tubes
recuerdes remember
universitario academic
asegurado insured
bailamos dance
metida stuck
decidiste decide
arruinaste ruined
semestre semester
jardines grounds
haced Do
emperatriz empress
obstante But
representación representation
persiguen chase
entorno environment
bonos bonds
acontecimientos events
taxista taxi driver
fritz fritz
indican indicate
superado exceeded
relájese relax
burla joke
instintos instincts
unico only
detenerlos stop
acabando ending
núcleo core
cera wax
vacíos empty
hipócrita hypocrite
limpios clean
drew Andrew
jonas jonas
raj raj
test test
wyatt wyatt
mail mail
interesados interested
conseguirte get you
matón bully
hospitalidad hospitality
estrado stage
lila lilac
usaron used
codo elbow
helicópteros helicopters
stacy stacy
campus campus
home home
anteriormente above
despido dismissal
destinado destined
destruida destroyed
notar note
blues blues
tontas silly
conocerlos know
just just
masculino male
buscaremos look
mataran killed
divertirte fun
trabajaré will work
agregar add
golpearon beat
valerie valerie
cante sing
cerrando closing
juana Tijuana
pagarlo pay
pasarán will
ancestros ancestors
milán Milan
preparé prepared
puerco pig
llamarle call
chupa sucks
halloween halloween
won won
funcionado worked
sta sta
consentimiento consent
